"","college_name","aid"
"712","Seton Hill University",26580
"713","Sewanee: The University of the South",33642
"714","Shasta Bible College",4722
"715","Shaw University",3756
"716","Shenandoah University",5347
"717","Shepherd University",8660
"718","Shimer College",15000
"719","Shippensburg University of Pennsylvania",9973
"720","Shorter University",7909
"721","Siena College",25000
"722","Simmons College",14665
"723","Simpson College",28315
"724","Simpson University",12019
"725","Skidmore College",56600
"726","Slippery Rock University of Pennsylvania",3288
"727","Smith College",48613
"728","Soka University of America",31901
"729","South Dakota School of Mines and Technology",1272
"730","Southeast Missouri State University",3460
"731","Southeastern Louisiana University",18222
"732","Southeastern Oklahoma State University",8390
"733","Southern Adventist University",5647
"734","Southern Arkansas University-Magnolia",6573
"735","Southern Baptist Theological Seminary",442
"736","Southern California Institute of Architecture",17000
"737","Southern Illinois University Carbondale",18555
"738","Southern Methodist University",25576
"739","Southern Oregon University",2212
"740","Southern Utah University",4917
"741","Southern Vermont College",9000
"742","Southern Virginia University",13388
"743","Southern Wesleyan University",16496
"744","Southwest Baptist University",22802
"745","Southwest Minnesota State University",1226
"746","Southwestern Assemblies of God University",3468
"747","Southwestern Christian College",12964
"748","Southwestern College",9996
"749","Southwestern University",20369
"750","Spelman College",26327
"751","Spring Arbor University",13636
"752","Spring Hill College",28524
"753","St. Ambrose University",14376
"754","St. Andrews University",16998
"755","St. Augustine College",1616
"756","St. Bonaventure University",27490
"757","St. Catherine University",21050
"758","St. Edward's University",19226
"759","St. Francis College",17500
"760","St. Gregory's University",4880
"761","St. John Fisher College",6065
"762","St. John's College",69360
"763","St. John's University",21401
"764","St. Joseph's College, Long Island Campus",14542
"765","St. Joseph's College, New York",14715
"766","St. Lawrence University",35260
"767","St. Louis College of Pharmacy",7310
"768","St. Mary's College of Maryland",7522
"769","St. Norbert College",19897
"770","St. Olaf College",38795
"771","St. Thomas Aquinas College",15800
"772","St. Thomas University",9514
"773","Stanford University",54194
"774","State University of New York at Fredonia",4583
"775","State University of New York at Oswego",6535
"776","State University of New York at Plattsburgh",5077
"777","State University of New York College at Geneseo",4000
"778","State University of New York College of Environmental Science and Forestry",4650
"779","State University of New York Polytechnic Institute",9504
"780","Stephen F. Austin State University",1206
"781","Sterling College",10347
"782","Stetson University",28550
"783","Stevens Institute of Technology",4200
"784","Stillman College",10482
"785","Stony Brook University, State University of New York",4440
"786","Suffolk University",9556
"787","Sullivan University",4000
"788","Summit University",4255
"789","Susquehanna University",17965
"790","Swarthmore College",48146
"791","Sweet Briar College",18377
"792","Syracuse University",12301
"793","Tabor College",16574
"794","Talmudic College of Florida",3800
"795","Taylor University",20233
"796","Temple University",5621
"797","Tennessee Wesleyan College",8746
"798","Texas A&M International University",4820
"799","Texas A&M University",21390
"800","Texas A&M University-Corpus Christi",4075
"801","Texas Christian University",29552
"802","Texas College",3000
"803","Texas Lutheran University",17518
"804","Texas State University",10897
"805","Texas Tech University",5132
"806","Texas Wesleyan University",4465
"807","The American University in Cairo",8458
"808","The Boston Conservatory",22872
"809","The Citadel, The Military College of South Carolina",36414
"810","The College at Brockport, State University of New York",4322
"811","The College of Idaho",13542
"812","The College of New Jersey",2250
"813","The College of New Rochelle",18802
"814","The College of Saint Rose",16622
"815","The College of St. Scholastica",26005
"816","The College of Wooster",25565
"817","The Colorado College",47724
"818","The Criswell College",2200
"819","The Culinary Institute of America",2781
"820","The Evergreen State College",14239
"821","The George Washington University",22777
"822","The Juilliard School",27134
"823","The King's College",19377
