"","college_name","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"731","Roberts Wesleyan College","21","24","1040","1230"
"732","Rochester College","18","24","870","1210"
"733","Rochester Institute of Technology","26","31","1210","1390"
"734","Rockford College","19","24","1030","1280"
"735","Rockhurst University","23","28","1070","1230"
"736","Rocky Mountain College","20","24","960","1170"
"737","Roosevelt University","19","24","990","1220"
"738","Rose Hulman Institute of Technology","27","32","1270","1480"
"739","Rosemont College","16","20","890","1090"
"740","Rowan University","22","27","1100","1300"
"741","Saginaw Valley State University","20","25","980","1170"
"742","Saint Anselm College","23","28","1130","1290"
"743","Saint Bonaventure University","20","27","1010","1230"
"744","Saint Catharine College","18","22","880","1140"
"745","Saint Cloud State University","18","24","1010","1240"
"746","Saint Edward's University","22","27","1090","1270"
"747","Saint Francis University","20","27","1040","1230"
"748","Saint John Fisher College","22","26","1050","1220"
"749","Saint Johns University","22","28","1020","1210"
"750","Saint Joseph's College New York","20","25","980","1180"
"751","Saint Joseph's College of Maine","20","23","890","1100"
"752","Saint Joseph's University","23","28","1130","1300"
"753","Saint Josephs College","21","24","930","1130"
"754","Saint Leo University","20","26","980","1160"
"755","Saint Louis University Main Campus","25","31","1180","1390"
"756","Saint Martin's University","20","25","970","1220"
"757","Saint Mary of the Woods College","17","22","900","1110"
"758","Saint Mary's College","22","28","1060","1230"
"759","Saint Mary's University of Minnesota","20","26","980","1180"
"760","Saint Marys College of California","22","28","1030","1230"
"761","Saint Norbert College","22","27","1040","1300"
"762","Saint Peter's College","16","23","910","1110"
"763","Saint Thomas Aquinas College","17","22","910","1130"
"764","Saint Thomas University","17","21","920","1130"
"765","Saint Vincent College","20","26","1020","1230"
"766","Saint Xavier University","19","24","950","1110"
"767","Salem College","22","27","1030","1270"
"768","Salem State University","19","25","970","1160"
"769","Sam Houston State University","19","24","950","1140"
"770","Samford University","23","29","1100","1310"
"771","San Diego Christian College","17","21","940","1130"
"772","San Diego State University","23","28","1080","1290"
"773","San Diego State University Imperial Valley Campus","16","21","850","1060"
"774","San Francisco State University","18","24","940","1160"
"775","San Jose State University","20","25","1000","1220"
"776","Santa Clara University","28","32","1270","1450"
"777","Sarah Lawrence College","27","31","1240","1450"
"778","Savannah College of Art and Design","21","27","1030","1260"
"779","Savannah State University","16","18","840","960"
"780","School of the Art Institute of Chicago","22","27","1100","1310"
"781","School of Visual Arts","21","26","1010","1300"
"782","Schreiner University","19","24","980","1150"
"783","Scripps College","28","32","1350","1480"
"784","Seattle Pacific University","21","27","1070","1300"
"785","Seattle University","25","30","1140","1350"
"786","Seton Hall University","23","27","1140","1310"
"787","Shenandoah University","19","25","960","1190"
"788","Shepherd University","19","24","950","1150"
"789","Shippensburg University of Pennsylvania","18","23","950","1140"
"790","Shorter University","18","23","910","1140"
"791","Sierra Nevada College","18","22","930","1130"
"792","Simmons College","24","29","1150","1320"
"793","Simpson College","21","27","1000","1300"
"794","Simpson University","18","24","940","1180"
"795","Skidmore College","26","30","1190","1390"
"796","Slippery Rock University of Pennsylvania","19","23","990","1160"
"797","Soka University of America","26","30","1140","1420"
"798","Sonoma State University","19","24","960","1150"
"799","South Carolina State University","14","17","770","950"
