"","college_name","combined_rank","national_rank","liberal_rank","students","aid","link","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"157","Goucher College",112,NA,112,NA,26444,"/best-colleges/goucher-college-2073",NA,NA,NA,NA
"158","Hanover College",112,NA,112,NA,22632,"/best-colleges/hanover-college-1801","22","27","1020","1220"
"159","Hollins University",112,NA,112,NA,32388,"/best-colleges/hollins-university-3715","23","29","1100","1300"
"160","Principia College",112,NA,112,NA,31931,"/best-colleges/principia-college-1744",NA,NA,NA,NA
"161","Temple University",115,115,NA,NA,5621,"/best-colleges/temple-university-3371",NA,NA,NA,NA
"162","University of St. Thomas",115,115,NA,NA,37529,"/best-colleges/university-of-st-thomas-minnesota-2345",NA,NA,NA,NA
"163","Elizabethtown College",117,NA,117,NA,24500,"/best-colleges/elizabethtown-college-3262","21","28","1070","1230"
"164","Linfield College",117,NA,117,NA,22502,"/best-colleges/linfield-college-3198",NA,NA,NA,NA
"165","Marlboro College",117,NA,117,NA,30983,"/best-colleges/marlboro-college-3690",NA,NA,NA,NA
"166","Ripon College",117,NA,117,NA,19978,"/best-colleges/ripon-college-3884","21","26","940","1230"
"167","Duquesne University",120,120,NA,NA,19763,"/best-colleges/duquesne-university-3258","24","29","1130","1300"
"168","Birmingham-Southern College",123,NA,123,NA,19748,"/best-colleges/birmingham-southern-1012",NA,NA,NA,NA
"169","Coe College",123,NA,123,NA,22112,"/best-colleges/coe-college-1854","22","28","1100","1330"
"170","Clarkson University",124,124,NA,NA,14073,"/best-colleges/clarkson-university-2699","24","29","1150","1340"
"171","Colorado State University",124,124,NA,NA,12846,"/best-colleges/colorado-state-university-1350",NA,NA,NA,NA
"172","Michigan Technological University",124,124,NA,NA,7678,"/best-colleges/michigan-tech-2292","25","30","1140","1400"
"173","Seton Hall University",124,124,NA,NA,14279,"/best-colleges/seton-hall-university-new-jersey-2632","23","27","1140","1310"
"174","University of Dayton",124,124,NA,NA,10591,"/best-colleges/university-of-dayton-3127","24","29","1100","1310"
"175","Grove City College",126,NA,126,NA,6410,"/best-colleges/grove-city-college-3269",NA,NA,NA,NA
"176","Albion College",128,NA,128,NA,17611,"/best-colleges/albion-college-2235","20","26","960","1280"
"177","Central College",128,NA,128,NA,12367,"/best-colleges/central-college-pella-1850","21","26","1030","1350"
"178","Eckerd College",128,NA,128,NA,17861,"/best-colleges/eckerd-college-1487","22","28","1080","1280"
"179","Wartburg College",128,NA,128,NA,20391,"/best-colleges/wartburg-college-1896","21","26","980","1140"
