ID,college_name,combined_rank,national_rank,liberal_rank,students,aid,usnews_link,bigfuture_link,college_website,Total_Amount_Awarded,Engineering
164,Marlboro College,117,NA,117,NA,30983,/best-colleges/marlboro-college-3690,,,,NA
165,Ripon College,117,NA,117,NA,19978,/best-colleges/ripon-college-3884,,,,NA
166,Duquesne University,120,120,NA,NA,19763,/best-colleges/duquesne-university-3258,,,,NA
167,Birmingham-Southern College,123,NA,123,NA,19748,/best-colleges/birmingham-southern-1012,,,,NA
168,Coe College,123,NA,123,NA,22112,/best-colleges/coe-college-1854,,,,NA
169,Clarkson University,124,124,NA,NA,14073,/best-colleges/clarkson-university-2699,,,,NA
170,Colorado State University,124,124,NA,NA,12846,/best-colleges/colorado-state-university-1350,,,,NA
171,Michigan Technological University,124,124,NA,NA,7678,/best-colleges/michigan-tech-2292,,,,NA
172,Seton Hall University,124,124,NA,NA,14279,/best-colleges/seton-hall-university-new-jersey-2632,,,,NA
173,University of Dayton,124,124,NA,NA,10591,/best-colleges/university-of-dayton-3127,,,,NA
174,Grove City College,126,NA,126,NA,6410,/best-colleges/grove-city-college-3269,,,,NA
175,Albion College,128,NA,128,NA,17611,/best-colleges/albion-college-2235,,,,NA
176,Central College,128,NA,128,NA,12367,/best-colleges/central-college-pella-1850,,,,NA
177,Eckerd College,128,NA,128,NA,17861,/best-colleges/eckerd-college-1487,,,,NA
178,Wartburg College,128,NA,128,NA,20391,/best-colleges/wartburg-college-1896,,,,NA
179,Westminster College,128,NA,128,NA,38298,/best-colleges/westminster-college-pennsylvania-3392,,,,NA
180,Whittier College,128,NA,128,NA,25062,/best-colleges/whittier-college-1342,,,,NA
181,Hofstra University,132,132,NA,NA,24000,/best-colleges/hofstra-university-2732,,,,NA
182,Mercer University,133,133,NA,NA,23472,/best-colleges/mercer-university-1580,,,,NA
183,University of Arkansas,133,133,NA,NA,7234,/best-colleges/university-of-arkansas-1108,,,,NA
184,University of Cincinnati,133,133,NA,NA,8324,/best-colleges/university-of-cincinnati-3125,,,,NA
185,University of Kentucky,133,133,NA,NA,8990,/best-colleges/university-of-kentucky-1989,,,,NA
186,McDaniel College,134,NA,134,NA,32707,/best-colleges/mcdaniel-college-2109,,,,NA
187,Siena College,134,NA,134,NA,25000,/best-colleges/siena-college-2816,,,,NA
188,St. Norbert College,134,NA,134,NA,19897,/best-colleges/st-norbert-college-3892,,,,NA
189,Sweet Briar College,134,NA,134,NA,18377,/best-colleges/sweet-briar-college-3742,,,,NA
190,Illinois College,138,NA,138,NA,27792,/best-colleges/illinois-college-1688,,,,NA
191,Randolph College,138,NA,138,NA,24330,/best-colleges/randolph-college-3734,,,,NA
192,Roanoke College,138,NA,138,NA,26374,/best-colleges/roanoke-college-3736,,,,NA
193,New Jersey Institute of Technology,140,140,NA,NA,25672,/best-colleges/njit-2621,,,,NA
194,San Diego State University,140,140,NA,NA,12,/best-colleges/sdsu-1151,,,,NA
195,University of South Florida,140,140,NA,NA,9225,/best-colleges/usf-1537,,,,NA
196,Washington State University,140,140,NA,NA,9127,/best-colleges/washington-state-3800,,,,NA
197,Alma College,141,NA,141,NA,19543,/best-colleges/alma-college-2236,,,,NA
198,Hiram College,141,NA,141,NA,8623,/best-colleges/hiram-college-3049,,,,NA
199,Susquehanna University,141,NA,141,NA,17965,/best-colleges/susquehanna-university-3369,,,,NA
200,Wesleyan College,141,NA,141,NA,11731,/best-colleges/wesleyan-college-1600,,,,NA
